Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
6/15/2016,RT,"COPPER, FREE",1022,1606-12520-001,N,0.044MG/L,LC001,DS001,"WSID 5049, 3 SUTTON",
6/15/2016,RT,"COPPER, FREE",1022,1606-12520-002,N,0.029MG/L,LC001,DS001,"WROSAIDD  5  0 4  9  ,3SU  TT  ON",
6/15/2016,RT,"COPPER, FREE",1022,1606-12520-003,N,0.021MG/L,LC001,DS001,"WROSAIDD 50 49  ,  3SU  TT  ON",
6/15/2016,RT,"COPPER, FREE",1022,1606-12520-004,N,0.020MG/L,LC001,DS001,"WROSAIDD 50  4  9  ,3S  U  TT  ON",
6/15/2016,RT,"COPPER, FREE",1022,1606-12520-005,N,0.035MG/L,LC001,DS001,"RWOSAIDD 5  0  4  9  ,3S  U  TT  ON",
6/15/2016,RT,LEAD,1030,1606-12520-001,Y,,LC001,DS001,"WROSAIDD 50  4  9  ,  3S  U  TT  ON",
6/15/2016,RT,LEAD,1030,1606-12520-002,Y,,LC001,DS001,"WROSAIDD 5  0  49  ,  3S  U  TT  ON",
6/15/2016,RT,LEAD,1030,1606-12520-003,Y,,LC001,DS001,"WROSAIDD 50 49 ,3S  U  TT  ON",
6/15/2016,RT,LEAD,1030,1606-12520-004,Y,,LC001,DS001,"RWOSAIDD 50  4 9,  3S  U  TT  ON",
6/15/2016,RT,LEAD,1030,1606-12520-005,Y,,LC001,DS001,"RWOSAIDD  5 04 9,  3S  U  TT  ON",
8/7/2013,RT,"COPPER, FREE",1022,1308-15023-001,Y,,LC001,DS001,"WROSAIDD  5 0  4  9,6 5SU  TT  ONRD  . ,",
8/7/2013,RT,"COPPER, FREE",1022,1308-15023-002,N,0.085MG/L,LC001,DS001,"WWHSIEDE 5L0O4C9K, 1, 3V9T8R  OUT  E",
8/7/2013,RT,"COPPER, FREE",1022,1308-15023-003,N,0.022MG/L,LC001,DS001,"W12S2I,D W 5H0E4E9,L SOUCTKT, OVNT  RD. ,",
8/7/2013,RT,"COPPER, FREE",1022,1308-15023-004,N,0.27MG/L,LC001,DS001,"WWHSIEDE 5L0O4C9K, 4, 0V4T8F  A  L  L",
8/7/2013,RT,"COPPER, FREE",1022,1308-15023-005,N,0.86MG/L,LC001,DS001,"WBRSOIDO 5K0 R49D,. ,1 W24H1E REOLUOTCEK , VT",
8/7/2013,RT,LEAD,1030,1308-15023-001,Y,,LC001,DS001,"W12S2I,D W 5H0E49E,L 6O5C SKU, TVTTONRD",". ,"
8/7/2013,RT,LEAD,1030,1308-15023-002,N,0.001MG/L,LC001,DS001,"WWSHIEDE 5L0O4C9K, 1, 3V9T8R  OUT  E",
8/7/2013,RT,LEAD,1030,1308-15023-003,N,0.004MG/L,LC001,DS001,"1W2S2I,D W 5H0E4E9,L SOUCTKT, OVNT  RD. ,",
8/7/2013,RT,LEAD,1030,1308-15023-004,N,0.001MG/L,LC001,DS001,"WWHSIEDE 5L0O4C9K, 4, 0V4T8F  A  L  L",
8/7/2013,RT,LEAD,1030,1308-15023-005,Y,,LC001,DS001,"WBRSOIDO 5K0 R49D,. ,1 W24H1E REOLUOTCEK , VT",
12/20/2011,RT,"COPPER, FREE",1022,11-IC-03544-001,Y,,EP001,TP001,"K12IT2C, WHEHNE ESLINOKC  K  ,V  T",
12/20/2011,RT,LEAD,1030,11-IC-03544-001,Y,,EP001,TP001,KI T  CH  ENSI N  K,
9/21/2010,RT,"COPPER, FREE",1022,IN33825,Y,,LC001,DS001,D  UR  AN  KE  A  S-1  2  8  7RT  E1  2  7,
9/21/2010,RT,"COPPER, FREE",1022,IN33826,Y,,LC001,DS001,BE  RGE  R-1  2  1  8R  TE1  2  2,
9/21/2010,RT,"COPPER, FREE",1022,IN33828,Y,,LC001,DS001,NOY  ES-1  2  6  1RT  E1  2  2,
9/21/2010,RT,"COPPER, FREE",1022,IN33829,Y,,LC001,DS001,WI N  SL  OW-1  2  4  1RT  E1  2  2,
9/21/2010,RT,"COPPER, FREE",1022,IN33831,Y,,LC001,DS001,GNOR  CR  OSS-6  5SU  T  TO  N,
9/21/2010,RT,LEAD,1030,IN33825,Y,,LC001,DS001,RDUDRA  NK  EA  S-1  2  8  7R  TE1  2  7,
9/21/2010,RT,LEAD,1030,IN33826,Y,,LC001,DS001,BE  RGE  R-1  2  1  8R  TE1  2  2,
9/21/2010,RT,LEAD,1030,IN33828,Y,,LC001,DS001,NOY  ES-1  2  6  1RT  E1  2  2,
9/21/2010,RT,LEAD,1030,IN33829,Y,,LC001,DS001,WI N  SL  OW-1  2  4  1RT  E1  2  2,
9/21/2010,RT,LEAD,1030,IN33831,Y,,LC001,DS001,GNOR  CR  OSS-6  5SU  T  TO  N,
8/30/2007,RT,"COPPER, FREE",1022,08I0281,N,0.08MG/L,LC001,DS001,1R2D8 7RT  E1  2  2,
8/30/2007,RT,"COPPER, FREE",1022,08I0282,N,0.10MG/L,LC001,DS001,1  26  1R  T  E1  2  2,
