Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
6/7/2010,RT,"COPPER, FREE",1022,10I0888,N,0.14MG/L,LC001,DS001,196 BAORDING HOUSE,
6/7/2010,RT,"COPPER, FREE",1022,10I0889,N,0.36MG/L,LC001,DS001,72  1M  I L  LST,
6/7/2010,RT,"COPPER, FREE",1022,10I0890,Y,,LC001,DS001,96SC  HOOLS  T,
6/7/2010,RT,"COPPER, FREE",1022,10I0891,N,0.19MG/L,LC001,DS001,1 52S  C  HOOLS  T,
6/7/2010,RT,"COPPER, FREE",1022,10I0892,Y,,LC001,DS001,6  1  8M  I L  LSTS  HE  L  DON,
6/7/2010,RT,LEAD,1030,10I0888,N,0.013MG/L,LC001,DS001,1  96BA  ORD  I NGH  OUS  E,
6/7/2010,RT,LEAD,1030,10I0889,Y,,LC001,DS001,7  2  1M  I L  LST,
6/7/2010,RT,LEAD,1030,10I0890,Y,,LC001,DS001,9 6SC  HOOLS  T,
6/7/2010,RT,LEAD,1030,10I0891,Y,,LC001,DS001,15 2SC  HOOLS  T,
6/7/2010,RT,LEAD,1030,10I0892,N,0.001MG/L,LC001,DS001,6  18M  I L  LSTS  HE  L  DON,
6/13/2007,RT,"COPPER, FREE",1022,07I1363,N,0.07MG/L,LC001,DS001,MES  SI E  R7  2  1MI L  LS  T,
6/13/2007,RT,"COPPER, FREE",1022,07I1366,N,0.04MG/L,LC001,DS001,WH  I TE9  6S  CHO  OLST,
6/13/2007,RT,"COPPER, FREE",1022,07I1367,Y,,LC001,DS001,CA  NT  EL  L6  1  8MI L  LS  T,
6/13/2007,RT,"COPPER, FREE",1022,07I1369,N,0.07MG/L,LC001,DS001,G  AL  E1  9  6B  OAR  DI N  G,
6/13/2007,RT,"COPPER, FREE",1022,07I1370,Y,,LC001,DS001,THIOPUPSEER  S22T  SH  AWV  I L  L  E,R  D
6/13/2007,RT,LEAD,1030,07I1363,Y,,LC001,DS001,MES  SI E  R7  2  1MI L  LS  T,
6/13/2007,RT,LEAD,1030,07I1366,Y,,LC001,DS001,WH  I TE9  6S  CHO  OLST,
6/13/2007,RT,LEAD,1030,07I1367,Y,,LC001,DS001,CA  NT  EL  L6  1  8MI L  LS  T,
6/13/2007,RT,LEAD,1030,07I1369,Y,,LC001,DS001,G  AL  E1  9  6B  OAR  DI N  G,
6/13/2007,RT,LEAD,1030,07I1370,Y,,LC001,DS001,THIOPUPSEER  S22T  SH  A  WV  I L  L  E,R  D
6/14/2006,RT,"COPPER, FREE",1022,06I0792,Y,,LC001,DS001,RI CH  AR  DC  AN  TE  L  L  / 6  1  8,
6/14/2006,RT,LEAD,1030,06I0792,Y,,LC001,DS001,RMIACIHNA SRTDCA  NT  E  L  L  / 6  1  8,
7/29/2003,RT,"COPPER, FREE",1022,P04129,Y,,EP-HIST,SS001,MAIN ST,
"",,,,,,,,,,
7/29/2003,RT,"COPPER, FREE",1022,P04130,Y,,EP-HIST,SS001,,
"",,,,,,,,,,
7/29/2003,RT,"COPPER, FREE",1022,P04131,Y,,EP-HIST,SS001,,
"",,,,,,,,,,
7/29/2003,RT,LEAD,1030,P04129,Y,,EP-HIST,SS001,,
"",,,,,,,,,,
7/29/2003,RT,LEAD,1030,P04130,Y,,EP-HIST,SS001,,
"",,,,,,,,,,
7/29/2003,RT,LEAD,1030,P04131,Y,,EP-HIST,SS001,,
"",,,,,,,,,,
3/20/2003,RT,"COPPER, FREE",1022,C031654,Y,,EP-HIST,SS001,,
