Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
8/9/2016,RT,"COPPER, FREE",1022,1608-17461-001,N,0.12MG/L,LC001,DS001,"WSID 6719, BASE-JH",
8/9/2016,RT,"COPPER, FREE",1022,1608-17461-002,N,0.063MG/L,LC001,DS001,"WS  I D6  7  1  9  ,B  AC1  - KI T  CH  E",N
8/9/2016,RT,"COPPER, FREE",1022,1608-17461-003,N,0.19MG/L,LC001,DS001,"WS  I D6  7  1  9  ,B  AC2  - MUS  I C",
8/9/2016,RT,"COPPER, FREE",1022,1608-17461-004,N,0.15MG/L,LC001,DS001,"WS  I D6  7  1  9  ,B  AS  E",
8/9/2016,RT,"COPPER, FREE",1022,1608-17461-005,N,0.080MG/L,LC001,DS001,"WUPSSIDT R6E71A9M,  B1A-OCF 1F ICE",
8/9/2016,RT,LEAD,1030,1608-17461-001,Y,,LC001,DS001,"WUPSSIDT R6E71A9M,  B1A-KS-ER-OJHO M",
8/9/2016,RT,LEAD,1030,1608-17461-002,Y,,LC001,DS001,"WS  I D6  7  1  9  ,B  AC1  - KI T  CH  E",N
8/9/2016,RT,LEAD,1030,1608-17461-003,Y,,LC001,DS001,"WS  I D6  7  1  9  ,B  AC2  - MUS  I C",
8/9/2016,RT,LEAD,1030,1608-17461-004,Y,,LC001,DS001,"WS  I D6  7  1  9  ,B  AS  E",
8/9/2016,RT,LEAD,1030,1608-17461-005,Y,,LC001,DS001,"UWPSSIDT R6E71A9M,  B1A-OCF 1F ICE",
8/13/2013,RT,"COPPER, FREE",1022,1308-15462-001,N,0.029MG/L,LC001,DS001,"UWPSSIDT R6E71A9M,  J1H-K F-RIROSOTM S I NK",
8/13/2013,RT,"COPPER, FREE",1022,1308-15462-002,N,0.023MG/L,LC001,DS001,"WS  I D6  7  1  9  ,OF  F  I CES  I NK",
8/13/2013,RT,"COPPER, FREE",1022,1308-15462-003,Y,,LC001,DS001,"WS  I D6  7  1  9  ,MU  SI CROOM",
8/13/2013,RT,"COPPER, FREE",1022,1308-15462-004,Y,,LC001,DS001,"WS  I D6  7  1  9  ,E  RI C  A' SCL  A  S  S",
8/13/2013,RT,"COPPER, FREE",1022,1308-15462-005,Y,,LC001,DS001,"WROSOIDM 6  7  1  9  ,D  OWNS  EC  ON",D
8/13/2013,RT,LEAD,1030,1308-15462-001,Y,,LC001,DS001,"BWASTIDH R6O71O9M, J  HF  I R  STS  I NK",
8/13/2013,RT,LEAD,1030,1308-15462-002,Y,,LC001,DS001,"WS  I D6  7  1  9  ,OF  F  I CES  I NK",
8/13/2013,RT,LEAD,1030,1308-15462-003,Y,,LC001,DS001,"WS  I D6  7  1  9  ,MU  SI CROOM",
8/13/2013,RT,LEAD,1030,1308-15462-004,Y,,LC001,DS001,"WS  I D6  7  1  9  ,E  RI C  A' SCL  A  S  S",
8/13/2013,RT,LEAD,1030,1308-15462-005,Y,,LC001,DS001,"WROSOIDM 6  7  1  9  ,D  OWNS  EC  ON",D
7/29/2010,RT,"COPPER, FREE",1022,1007-10054001,N,0.038MG/L,LC001,DS001,HBA STIHNKR O1OM,
7/29/2010,RT,"COPPER, FREE",1022,1007-10054002,N,0.045MG/L,LC001,DS001,J  HS  I NK2,
7/29/2010,RT,"COPPER, FREE",1022,1007-10054003,N,0.21MG/L,LC001,DS001,O  UT  B  AC  KB  AC  2,
7/29/2010,RT,"COPPER, FREE",1022,1007-10054004,N,0.051MG/L,LC001,DS001,P  R  I MAR  YS  I NK,
7/29/2010,RT,"COPPER, FREE",1022,1007-10054005,N,0.11MG/L,LC001,DS001,3  RD/ 4  T  HGRA  DESI N  K,
7/29/2010,RT,LEAD,1030,1007-10054001,Y,,LC001,DS001,HS  I NK1,
7/29/2010,RT,LEAD,1030,1007-10054002,N,0.002MG/L,LC001,DS001,J HS  I NK2,
7/29/2010,RT,LEAD,1030,1007-10054003,N,0.001MG/L,LC001,DS001,OUT  B  AC  KB  AC  2,
7/29/2010,RT,LEAD,1030,1007-10054004,Y,,LC001,DS001,P  R  I MAR  YS  I NK,
7/29/2010,RT,LEAD,1030,1007-10054005,Y,,LC001,DS001,3  RD/ 4  T  HGRA  DESI N  K,
9/12/2007,RT,"COPPER, FREE",1022,307356,Y,,LC001,DS001,J  HS  I NK1,
9/12/2007,RT,"COPPER, FREE",1022,307357,Y,,LC001,DS001,OUT  B  AC  KB  AC2,
9/12/2007,RT,"COPPER, FREE",1022,307358,Y,,LC001,DS001,P  R  I MAR  YR  OOM,
9/12/2007,RT,"COPPER, FREE",1022,307359,N,0.024MG/L,LC001,DS001,J ODI 'S3  / 4R  OOM,
